GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
desofs,isep.ipp.pt.api.desofs.Dto.DadosNutricionaisDTO.ControllerLayer,DadosNutricionaisDtoResponse,48,0,16,0,4,0,9,0,1,0
desofs,isep.ipp.pt.api.desofs.Dto.DadosNutricionaisDTO.ControllerLayer,DadosNutricionaisDTOSaveRequest,69,0,0,0,19,0,10,0,10,0
desofs,isep.ipp.pt.api.desofs.Service.EncomendaService,EncomendaServiceImpl,74,42,0,0,11,5,6,2,6,2
desofs,isep.ipp.pt.api.desofs.Mapper.DadosNutricionais,DadosNutricionaisMapperImpl,97,3,8,0,31,1,7,1,3,1
desofs,isep.ipp.pt.api.desofs.Dto.UserDTO.ControllerLayer,UserDTOSignup,50,31,5,1,13,9,9,2,6,2
desofs,isep.ipp.pt.api.desofs.Dto.UserDTO.ControllerLayer,UserDTOPasswordChangeRequest,60,0,6,0,18,0,8,0,5,0
desofs,isep.ipp.pt.api.desofs.Dto.UserDTO.ControllerLayer,UserDTOResponse,0,21,0,0,0,1,0,1,0,1
desofs,isep.ipp.pt.api.desofs.Dto.ReceitaDTO.ControllerLayer,ReceitaDTOResponse,48,23,0,0,18,12,7,6,7,6
desofs,isep.ipp.pt.api.desofs.Dto.ReceitaDTO.ControllerLayer,ReceitaDTOPatchRequest,51,0,0,0,20,0,8,0,8,0
desofs,isep.ipp.pt.api.desofs.Dto.ReceitaDTO.ControllerLayer,ReceitaDTOSaveRequest,19,27,0,0,10,10,5,5,5,5
desofs,isep.ipp.pt.api.desofs.Dto.ReviewDTO.ServiceLayer,ReviewDTOServicePatchRequest,0,33,0,0,0,12,0,6,0,6
desofs,isep.ipp.pt.api.desofs.Dto.ReviewDTO.ServiceLayer,ReviewDTOServiceSaveRequest,0,27,0,0,0,10,0,5,0,5
desofs,isep.ipp.pt.api.desofs.Dto.ReviewDTO.ServiceLayer,ReviewDTOServiceResponse,3,30,0,0,1,11,1,5,1,5
desofs,isep.ipp.pt.api.desofs.Dto.ReviewDTO.ServiceLayer,ReviewDTOSaveService,0,27,0,0,0,10,0,5,0,5
desofs,isep.ipp.pt.api.desofs.Dto.ReviewDTO.ServiceLayer,ReviewDTOPatchService,0,33,0,0,0,12,0,6,0,6
desofs,isep.ipp.pt.api.desofs.Controllers,ReviewController,114,92,13,9,23,20,12,9,2,8
desofs,isep.ipp.pt.api.desofs.Controllers,DadosNutricionaisController,119,3,10,0,16,1,9,1,4,1
desofs,isep.ipp.pt.api.desofs.Controllers,ReceitaController,184,29,22,2,38,6,18,2,6,2
desofs,isep.ipp.pt.api.desofs.Controllers,PacoteController,147,67,15,7,31,13,12,8,4,5
desofs,isep.ipp.pt.api.desofs.Controllers,TipoPacoteController,112,37,11,3,26,7,10,4,4,3
desofs,isep.ipp.pt.api.desofs.Controllers,EncomendaController,163,41,16,2,31,11,14,3,5,3
desofs,isep.ipp.pt.api.desofs.Controllers,UserController,80,3,10,0,14,1,8,1,3,1
desofs,isep.ipp.pt.api.desofs.Controllers,TipoReceitaController,112,37,11,3,26,7,10,4,4,3
desofs,isep.ipp.pt.api.desofs.Dto.TipoReceitaDTO.ControllerLayer,TipoReceitaDTOSaveRequest,3,9,0,0,2,4,1,2,1,2
desofs,isep.ipp.pt.api.desofs.Dto.TipoReceitaDTO.ControllerLayer,TipoReceitaDTOResponse,21,11,0,0,9,6,4,3,4,3
desofs,isep.ipp.pt.api.desofs.Mapper.TipoReceitaMapper,TipoReceitaMapperImpl,37,88,8,8,11,26,7,8,1,6
desofs,isep.ipp.pt.api.desofs.Service.ReceitaService,ReceitaServiceImpl,184,153,20,12,47,36,17,11,4,8
desofs,isep.ipp.pt.api.desofs.Mapper.EncomendaMapper,EncomendaMapperImpl,166,201,16,4,50,66,14,5,4,5
desofs,isep.ipp.pt.api.desofs.Service.PacoteService,PacoteServiceImpl,44,69,2,2,7,14,3,8,2,7
desofs,isep.ipp.pt.api.desofs.Mapper.UserMapper,UserMapperImpl,58,54,6,2,21,18,6,2,2,2
desofs,isep.ipp.pt.api.desofs.Service.TipoReceitaService,TipoReceitaServiceImpl,5,42,0,2,2,9,1,6,1,5
desofs,isep.ipp.pt.api.desofs.Model,TipoPacote,40,28,0,0,8,13,3,6,3,6
desofs,isep.ipp.pt.api.desofs.Model,DadosNutricionais,74,33,0,0,20,13,11,2,11,2
desofs,isep.ipp.pt.api.desofs.Model,Encomenda,145,55,0,0,33,24,5,16,5,16
desofs,isep.ipp.pt.api.desofs.Model,Receita,69,67,0,0,11,28,3,12,3,12
desofs,isep.ipp.pt.api.desofs.Model,Review,80,56,0,0,15,24,3,12,3,12
desofs,isep.ipp.pt.api.desofs.Model,Pacote,78,91,0,0,12,37,3,16,3,16
desofs,isep.ipp.pt.api.desofs.Model,Estado,3,32,0,0,1,7,1,2,1,2
desofs,isep.ipp.pt.api.desofs.Model,TipoReceita,40,28,0,0,8,13,3,6,3,6
desofs,isep.ipp.pt.api.desofs.Mapper.TipoPacoteMapper,TipoPacoteMapperImpl,37,98,8,8,11,31,7,8,1,6
